Name,X1,X2,P1,P2,Line,Label
STRT 3 of BRANCH /P-ME003-011/B3,-177,-178,-31.2833,-14.0716,6,18
DAMPER 1 of BRANCH /P-ME003-011/B3,-176,-177,-41.8431,-31.2833,6,18
STRT 2 of BRANCH /P-ME003-011/B3,-171,-176,-58.4747,-41.8431,6,18
FLEXIBLE 1 of BRANCH /P-ME003-011/B5,-174,-175,-2.4017,0,1013,19
STRT 2 of BRANCH /P-ME003-011/B5,-173,-174,-3.7549,-2.4017,13,19
BEND 1 of BRANCH /P-ME003-011/B5,-172,-173,-3.7549,-3.7549,13,19
STRT 1 of BRANCH /P-ME003-011/B5,-171,-172,-3.9061,-3.7549,13,19
TEE 1 of BRANCH /P-ME003-011/B3,-171,-171,-3.9061,-58.4747,-8888,20
TEE 1 of BRANCH /P-ME003-011/B3,-170,-171,-59.2825,-58.4747,6,21
STRT 1 of BRANCH /P-ME003-011/B3,-169,-170,-62.2209,-59.2825,6,21
STRT 4 of BRANCH /P-ME003-001/B11,-164,-169,-65.6755,-62.2209,6,21
FLEXIBLE 1 of BRANCH /P-ME003-001/B13,-167,-168,-2.4017,0,1016,22
STRT 2 of BRANCH /P-ME003-001/B13,-166,-167,-3.7549,-2.4017,16,22
BEND 1 of BRANCH /P-ME003-001/B13,-165,-166,-3.7549,-3.7549,16,22
STRT 1 of BRANCH /P-ME003-001/B13,-164,-165,-3.9037,-3.7549,16,22
TEE 1 of BRANCH /P-ME003-001/B11,-164,-164,-3.9037,-65.6755,-8888,23
TEE 1 of BRANCH /P-ME003-001/B11,-163,-164,-67.0604,-65.6755,6,24
STRT 3 of BRANCH /P-ME003-001/B11,-162,-163,-91.3812,-67.0604,6,24
BEND 2 of BRANCH /P-ME003-001/B11,-161,-162,-91.3812,-91.3812,6,24
STRT 2 of BRANCH /P-ME003-001/B11,-160,-161,-106.3199,-91.3812,6,24
BEND 1 of BRANCH /P-ME003-001/B11,-159,-160,-106.3199,-106.3199,6,24
STRT 1 of BRANCH /P-ME003-001/B11,-158,-159,-124.5039,-106.3199,6,24
TEE 1 of BRANCH /P-ME003-001/B10,-158,-158,-124.5039,-274.2991,-8888,25
TEE 1 of BRANCH /P-ME003-001/B10,-157,-158,-275.2602,-274.2991,1,26
STRT 9 of BRANCH /P-ME003-001/B10,-156,-157,-287.6571,-275.2602,1,26
BEND 7 of BRANCH /P-ME003-001/B10,-155,-156,-287.6571,-287.6571,1,26
STRT 8 of BRANCH /P-ME003-001/B10,-154,-155,-289.8261,-287.6571,1,26
BEND 6 of BRANCH /P-ME003-001/B10,-153,-154,-289.8261,-289.8261,1,26
STRT 7 of BRANCH /P-ME003-001/B10,-152,-153,-315.6693,-289.8261,1,26
BEND 5 of BRANCH /P-ME003-001/B10,-151,-152,-315.6693,-315.6693,1,26
STRT 6 of BRANCH /P-ME003-001/B10,-150,-151,-318.8523,-315.6693,1,26
BEND 4 of BRANCH /P-ME003-001/B10,-149,-150,-318.8523,-318.8523,1,26
STRT 5 of BRANCH /P-ME003-001/B10,-148,-149,-328.9921,-318.8523,1,26
BEND 3 of BRANCH /P-ME003-001/B10,-147,-148,-328.9921,-328.9921,1,26
