=469784170/40557,TEE 2 of BRANCH /P-ME003-H22A-007/B1,1,=469792362/12894,2,=469784170/40647,=469792362/12896,,,,,,,52,380.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469792362/12896,STRT 6 of BRANCH /P-ME003-H22A-007/B1,1,=469784170/40557,1,=469784170/40546,,,,,,,,53,300.000,EXTRACT,,,,,,,,,,,,,,,ED5-3,S,,,,
=469784170/40546,TAPER 1 of BRANCH /P-ME003-H22A-007/B1,1,=469792362/12896,1,=469784170/40562,,,,,,,,54,300.000,EXTRACT,,,,,ED4-1,18.000,0.640,,,,,,,,,,,,,
=469784170/70781,STRT 1 of BRANCH /P-ME003-H23AF/B6,1,=469784170/40610,1,=469784170/70778,,,,,,,,44,80.000,EXTRACT,,,,,,,,,,,,,,,ED5-3,B,,,,
=469784170/70778,BEND 1 of BRANCH /P-ME003-H23AF/B6,1,=469784170/70781,1,=469784170/62652,,,,,,,,45,80.000,EXTRACT,,,,,,30.000,1.000,,,,,,,,,,,,,
=469784170/62652,STRT 2 of BRANCH /P-ME003-H23AF/B6,1,=469784170/70778,1,=469784170/40615,,,,,,,,46,80.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/40615,FLEXIBLE 1 of BRANCH /P-ME003-H23AF/B6,1,=469784170/62652,0,,,,,,,,,47,80.000,EXTRACT,80 (Suction),,,,,,,,,SUCTION,0.5,,,,,,,,,
=469784170/47367,DAMPER 1 of BRANCH /P-ME003-H22A-901/B2,1,=469784170/62615,1,=469784170/69937,,,,,,,,14,640.000,EXTRACT,,,,,A-15G,0,,,,,,,,,,,,,,
=469784170/69937,STRT 1 of BRANCH /P-ME003-H22A-002/B1,1,=469784170/47367,1,=469784170/62622,,,,,,,,15,640.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/62622,BEND 1 of BRANCH /P-ME003-H22A-002/B1,1,=469784170/69937,1,=469784170/69932,,,,,,,,16,640.000,EXTRACT,,,,,,90.000,1.000,,,,,,,,,,,,,
=469784170/69932,STRT 2 of BRANCH /P-ME003-H22A-002/B1,1,=469784170/62622,1,=469800554/2172,,,,,,,,17,640.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469800554/2172,BEND 2 of BRANCH /P-ME003-H22A-002/B1,1,=469784170/69932,1,=469784170/69933,,,,,,,,18,640.000,EXTRACT,,,,,,15.000,1.000,,,,,,,,,,,,,
=469784170/69933,STRT 3 of BRANCH /P-ME003-H22A-002/B1,1,=469800554/2172,1,=469800554/2173,,,,,,,,19,640.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469800554/2173,BEND 3 of BRANCH /P-ME003-H22A-002/B1,1,=469784170/69933,1,=469784170/69934,,,,,,,,20,640.000,EXTRACT,,,,,,15.000,1.000,,,,,,,,,,,,,
=469784170/69934,STRT 4 of BRANCH /P-ME003-H22A-002/B1,1,=469800554/2173,1,=469784170/62628,,,,,,,,21,640.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/62628,TEE 1 of BRANCH /P-ME003-H22A-002/B1,1,=469784170/69934,2,=469784170/69964,=469784170/62635,,,,,,,22,640.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/62635,TAPER 1 of BRANCH /P-ME003-H22A-002/B1,1,=469784170/62628,1,=469784170/69935,,,,,,,,23,320.000,EXTRACT,,,,,ED4-1,42.000,0.391,,,,,,,,ED5-3,S,,,,
=469784170/69935,STRT 5 of BRANCH /P-ME003-H22A-002/B1,1,=469784170/62635,1,=469784170/62636,,,,,,,,24,320.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/62636,BEND 4 of BRANCH /P-ME003-H22A-002/B1,1,=469784170/69935,1,=469784170/69936,,,,,,,,25,320.000,EXTRACT,,,,,,90.000,1.000,,,,,,,,,,,,,
=469784170/69936,STRT 6 of BRANCH /P-ME003-H22A-002/B1,1,=469784170/62636,1,=469784170/62645,,,,,,,,26,320.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/62645,BEND 5 of BRANCH /P-ME003-H22A-002/B1,1,=469784170/69936,1,=469800554/2177,,,,,,,,27,320.000,EXTRACT,,,,,,45.000,1.000,,,,,,,,,,,,,
=469800554/2177,STRT 7 of BRANCH /P-ME003-H22A-002/B1,1,=469784170/62645,1,=469800554/2182,,,,,,,,28,320.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/69964,STRT 1 of BRANCH /P-ME003-H22A-003/B1,1,=469784170/62628,1,=469792362/17886,,,,,,,,23,320.000,EXTRACT,,,,,,,,,,,,,,,ED5-3,B,,,,
=469792362/17886,BEND 1 of BRANCH /P-ME003-H22A-003/B1,1,=469784170/69964,1,=469792362/17890,,,,,,,,24,320.000,EXTRACT,,,,,,45.000,1.000,,,,,,,,,,,,,
=469792362/17890,STRT 2 of BRANCH /P-ME003-H22A-003/B1,1,=469792362/17886,1,=469792362/17887,,,,,,,,25,320.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
