=469784169/94878,BEND 5 of BRANCH /P-ME003-001/B10,,=469784169/94881,,,,,,,,,,,780,,,10.8,-315.7,0
=469784169/94881,STRT 6 of BRANCH /P-ME003-001/B10,,=469784169/94877,,,,,,,,,,,780,,,10.8,-318.9,3.2
=469784169/94877,BEND 4 of BRANCH /P-ME003-001/B10,,=469784169/90521,,,,,,,,,,,780,,,10.8,-318.9,0
=469784169/90521,STRT 5 of BRANCH /P-ME003-001/B10,,=469800553/5229,,,,,,,,,,,780,,,10.8,-329,10.1
=469800553/5229,BEND 3 of BRANCH /P-ME003-001/B10,,=469800553/5232,,,,,,,,,,,780,,,10.8,-329,0
=469800553/5232,STRT 4 of BRANCH /P-ME003-001/B10,,=469800553/5228,,,,,,,,,,,780,,,10.8,-330,1
=469800553/5228,BEND 2 of BRANCH /P-ME003-001/B10,,=469800553/5225,,,,,,,,,,,780,,,10.8,-330,0
=469800553/5225,STRT 3 of BRANCH /P-ME003-001/B10,,=469784169/90520,,,,,,,,,,,780,,,10.8,-340.5,10.6
=469784169/90520,BEND 1 of BRANCH /P-ME003-001/B10,,=469784169/102082,,,,,,,,,,,780,,,10.8,-340.5,0
=469784169/102082,STRT 2 of BRANCH /P-ME003-001/B10,,=469784169/102084,,,,,,,,,,,780,,,10.8,-345.2,4.7
=469784169/102084,DAMPER 1 of BRANCH /P-ME003-001/B10,,=469784169/90516,,,,,,,,,,,780,,,10.8,-381.3,36.1
=469784169/90516,STRT 1 of BRANCH /P-ME003-001/B10,,=469784169/90517,,,,,,,,,,,780,,,10.8,-383.1,1.8
=469784169/90517,DAMPER 1 of BRANCH /P-ME003-901/B2,,=469784169/94871,,,,,,,,,,,780,,,10.8,-419.7,36.6
=469784169/94871,BEND 1 of BRANCH /P-ME003-001/B8,,=469792361/42624,,,,,,,,,,,780,,,10.8,-419.7,0
=469792361/42624,STRT 1 of BRANCH /P-ME003-001/B8,,=469784169/90806,,,,,,,,,,,780,,,10.8,-420.6,0.9
=469784169/91905,FLEXIBLE 1 of BRANCH /P-ME003-013/B3,,=469792361/37027,,,,,,,,,,,80,,,2.8,-2.4,2.4
=469792361/37027,STRT 1 of BRANCH /P-ME003-013/B3,,=469792361/37024,,,,,,,,,,,80,,,2.8,-2.6,0.2
=469784169/91904,FLEXIBLE 1 of BRANCH /P-ME003-013/B4,,=469792361/37026,,,,,,,,,,,80,,,2.8,-2.4,2.4
=469792361/37026,STRT 6 of BRANCH /P-ME003-013/B2,,=469792361/37024,,,,,,,,,,,80,,,2.8,-2.6,0.2
=469792361/37024,TEE 1 of BRANCH /P-ME003-013/B2,,=469792361/37023,,,,,,,,,,,160,,,5.7,-3,0.4
=469792361/37023,STRT 5 of BRANCH /P-ME003-013/B2,,=469792361/37020,,,,,,,,,,,160,,,5.7,-8.3,5.3
=469792361/37020,BEND 2 of BRANCH /P-ME003-013/B2,,=469784169/91784,,,,,,,,,,,160,,,5.7,-8.3,0
=469784169/91784,STRT 4 of BRANCH /P-ME003-013/B2,,=469792361/36972,,,,,,,,,,,160,,,5.7,-8.8,0.4
=469792361/36972,BEND 1 of BRANCH /P-ME003-013/B2,,=469784169/101922,,,,,,,,,,,160,,,5.7,-8.8,0
=469784169/101922,STRT 3 of BRANCH /P-ME003-013/B2,,=469784169/101919,,,,,,,,,,,160,,,5.7,-10.3,1.5
=469784169/101919,STRT 2 of BRANCH /P-ME003-013/B2,,=469792361/37028,,,,,,,,,,,160,,,5.7,-20.7,10.4
