No.,SecID,Name,Qflow[m3/h],Qflow[m3/h],SecType,Width[mm],Height[mm],Diam[m],Equiv. Diam[m],Vel[m/s],Pvel[Pa],Length[mm],Rough,DP/L[Pa/m],DP_Fric[Pa],FITTING T,Para1,Para2,Corr,C[-],DP[Pa],FITTING S1,Para1,Para2,Para3,Corr,C[-],DP[Pa],FITTING S2,Para1,Para2,Para3,Corr,C[-],DP[Pa],FITTING S3,Para1,Para2,Para3,Corr,C[-],DP[Pa],FITTING S4,Para1,Para2,Para3,Corr,C[-],DP[Pa],DP_Total[Pa],DP_Unbal[Pa],RoomP[Pa],Pres[Pa],Psum[Pa],56,57,58,59,TreeID,TreeLevel,BranLevel,BranID,ElemID,PathInfo,cDesc
-435 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ DAMPER 1 of BRANCH /P-ME003-913/B1, =469784169/84809,140,140,CIRC,0,0,100,100,4.9515,14.7103,200,0.09,3.7293,0.74586,,0,0,0,0,0,A-15G,0,0,0,0,0.5,7.3552,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,8.101,0,0,-28.9609,446.1052,,,,,-9,74,7,70,15,-1,DAMPER 1 of BRANCH /P-ME003-913/B1
-434 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ STRT 12 of BRANCH /P-ME003-013/B1, =469784169/95072,140,140,CIRC,0,0,100,100,4.9515,14.7103,484,0.09,3.7293,1.805,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,1.805,0,0,-30.7659,438.0041,,,,,-9,73,7,70,14,-1,STRT 12 of BRANCH /P-ME003-013/B1
-433 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ BEND 5 of BRANCH /P-ME003-013/B1, =469784169/95076,140,140,CIRC,0,0,100,100,4.9515,14.7103,0,0.09,0,0,,0,0,0,0,0,,30,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-30.7659,436.1992,,,,,-9,72,7,70,13,-1,BEND 5 of BRANCH /P-ME003-013/B1
-432 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ STRT 11 of BRANCH /P-ME003-013/B1, =469784169/101909,140,140,CIRC,0,0,100,100,4.9515,14.7103,84,0.09,3.7293,0.31326,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.31326,0,0,-31.0792,436.1992,,,,,-9,71,7,70,12,-1,STRT 11 of BRANCH /P-ME003-013/B1
-431 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ BEND 4 of BRANCH /P-ME003-013/B1, =469784169/95075,140,140,CIRC,0,0,100,100,4.9515,14.7103,0,0.09,0,0,,0,0,0,0,0,,30,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-31.0792,435.8859,,,,,-9,70,7,70,11,-1,BEND 4 of BRANCH /P-ME003-013/B1
-430 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ STRT 10 of BRANCH /P-ME003-013/B1, =469784169/95074,140,140,CIRC,0,0,100,100,4.9515,14.7103,200,0.09,3.7293,0.74586,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.74586,0,0,-31.825,435.8859,,,,,-9,69,7,70,10,-1,STRT 10 of BRANCH /P-ME003-013/B1
-429 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ BEND 3 of BRANCH /P-ME003-013/B1, =469784169/95073,140,140,CIRC,0,0,100,100,4.9515,14.7103,0,0.09,0,0,,0,0,0,0,0,,30,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-31.825,435.14,,,,,-9,68,7,70,9,-1,BEND 3 of BRANCH /P-ME003-013/B1
-428 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ STRT 9 of BRANCH /P-ME003-013/B1, =469784169/101908,140,140,CIRC,0,0,100,100,4.9515,14.7103,144,0.09,3.7293,0.53702,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.53702,0,0,-32.3621,435.14,,,,,-9,67,7,70,8,-1,STRT 9 of BRANCH /P-ME003-013/B1
-427 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ BEND 2 of BRANCH /P-ME003-013/B1, =469784169/95071,140,140,CIRC,0,0,100,100,4.9515,14.7103,0,0.09,0,0,,0,0,0,0,0,,30,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-32.3621,434.603,,,,,-9,66,7,70,7,-1,BEND 2 of BRANCH /P-ME003-013/B1
-426 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ STRT 8 of BRANCH /P-ME003-013/B1, =469784169/101907,140,140,CIRC,0,0,100,100,4.9515,14.7103,990,0.09,3.7293,3.692,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,3.692,0,0,-36.054,434.603,,,,,-9,65,7,70,6,-1,STRT 8 of BRANCH /P-ME003-013/B1
-425 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ STRT 7 of BRANCH /P-ME003-013/B1, =469800553/5040,140,140,CIRC,0,0,100,100,4.9515,14.7103,909,0.09,3.7293,3.3899,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,3.3899,0,0,-39.444,430.911,,,,,-9,64,7,70,5,-1,STRT 7 of BRANCH /P-ME003-013/B1
-424 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ BEND 1 of BRANCH /P-ME003-013/B1, =469784169/84808,140,140,CIRC,0,0,100,100,4.9515,14.7103,0,0.09,0,0,,0,0,0,0,0,,90,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-39.444,427.5211,,,,,-9,63,7,70,4,-1,BEND 1 of BRANCH /P-ME003-013/B1
